,Airon,Big Killa,Carpediem,Chang,Elevn,Filósofo,Gavyria,Letra,Lokillo,Ñko,RBN,Valles-T
Airon,X,V,D,D,V,DR,V,DR,VR,DR,V,D
Big Killa,D,X,V,D,DR,D,V,D,D,V,DR,D
Carpediem,V,D,X,DR,V,D,DR,VR,D,V,D,DR
Chang,V,V,VR,X,V,VR,V,VR,V,V,V,D
Elevn,D,VR,D,D,X,VR,DR,V,VR,DR,D,D
Filósofo,VR,V,V,DR,DR,X,V,D,DR,V,DR,D
Gavyria,D,D,VR,D,VR,D,X,DR,D,D,V,D
Letra,VR,V,DR,DR,D,V,VR,X,DR,VR,DR,DR
Lokillo,DR,V,V,D,DR,VR,V,VR,X,V,DR,VR
Ñko,VR,D,D,D,VR,D,V,DR,D,X,DR,DR
RBN,D,VR,V,D,V,VR,D,VR,VR,VR,X,DR
Valles-T,V,V,VR,V,V,V,V,VR,DR,VR,VR,X
